FID,source_id,country,name,least_depth,max_depth,depth_info,depth_prec,object_length,loc_prec,site_area,sink_context,sink_yr,dating,period,statutory,obj_desc,ship_char,obj_type,est_tonnag,place_orig,place_dest,artefacts,coast_dist,source_inf,reference,website1,website2,the_geom
heritageshipwrecks.5437,W06234,Ireland,Mary,,,n.a.,Unknown depth,,,,n.a.,1913,n.a.,n.a.,n.a.,n.a.,n.a.,Ketch,,n.a.,n.a.,n.a.,140.76431497,National Monuments Service (Ireland),"BOT Wk Rtn 1913 Appx C Table 1, 25(1055); Bourke 1994, 176; Larn & Larn 2002LR 1913-14 No 324(M); PP 1920, Vol. XL, 25.",n.a.,n.a.,POINT (52.5902800000001 -9.88055999999995)
heritageshipwrecks.5438,W06251,Ireland,Penhale (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,135370.944252,National Monuments Service (Ireland),"BVLS 1914-18, 50; Larn & Larn 2002 BMS 1914-18, 43; LR 1916-17 No 349(P); LCWLR 1914-18, 134.",n.a.,n.a.,POINT (52.8000000000001 -12.2499999999999)
heritageshipwrecks.5439,W06254,Ireland,Premier (SS),,,n.a.,Unknown depth,,,,n.a.,1898,n.a.,n.a.,n.a.,n.a.,n.a.,Steel Steamship,,n.a.,n.a.,n.a.,1978.50324852,National Monuments Service (Ireland),"The Irish Times, 28 November 1898; Larn & Larn 2002; Lloyd’s List, No. 19, 103 Mon. 28th Nov. 1898, 8 c.23; Lloyd’s List, No. 19, 104 Tue. 29th Nov. 1898, 10 c.24; Lloyd’s List, No. 19, 106 Thur. 1st Dec. 1898, 11; Lloyd’s List, No. 19, 123 Wed.",n.a.,n.a.,POINT (52.5921700000001 -9.64199999999994)
heritageshipwrecks.5440,W06261,Ireland,Salvia,,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Sloop,,n.a.,n.a.,n.a.,390775.862127,National Monuments Service (Ireland),"BVLS 1914-18, 5; Larn & Larn 2002 SIC Vol 1, 220; Q-ships, Ritchie, C. 1985, 197; SRN Vol 1, 305; Hocking 1989, 614.",n.a.,n.a.,POINT (52.4166700000001 -16.3333299999999)
heritageshipwrecks.5441,W06262,Ireland,San Estaban,,,n.a.,Unknown depth,,,,n.a.,1588,n.a.,n.a.,n.a.,n.a.,n.a.,Man O' War,,n.a.,n.a.,n.a.,145.54402232,National Monuments Service (Ireland),"Bourke 1994, 172; Larn & Larn 2002; Full Fathom Five, Martin, C. 1975, 89 & 272; From Merciless Invaders, McKee, A. 1963 & 1987, 226; The Armada in Ireland, Fallon, N. 1978; SIC Vol 1, 172; IJNA (2000) 29.2, 247-259.",n.a.,n.a.,POINT (52.7476600000001 -9.52719999999994)
heritageshipwrecks.5442,W06263,Ireland,San Marcos,,,n.a.,Unknown depth,,,,n.a.,1588,n.a.,n.a.,n.a.,n.a.,n.a.,Man O' War,,n.a.,n.a.,n.a.,128.48183422,National Monuments Service (Ireland),"Bourke 1994, 172; The Armada in Ireland, Fallon, N. 1978; Larn & Larn 2002; Full Fathom Five, Martin, C. 1975, 20 & 266; The Defeat of the Spanish Armada, Mattingly, G. 1959, 278-87; From Merciless Invaders, McKee, A. 1963 & 1987, 218-20; SIC Vol 1, 172.",n.a.,n.a.,POINT (52.80773 -9.50246999999996)
heritageshipwrecks.5443,W06319,Ireland,Warner (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,49972.1114387,National Monuments Service (Ireland),"BVLS 1914-18, 20; Larn & Larn 2002 BMS 1914-18, 46; LR 1916-17 No 171(W); LCWLR 1914-18, 104; Q-Ships, Ritchie, C.I. 1985 Terence Dalton Ltd, Suffolk, 201.",n.a.,n.a.,POINT (52.5000000000001 -10.9999999999999)
heritageshipwrecks.5444,W06322,Ireland,Wentworth Beaumont / Wentworth,,,n.a.,Unknown depth,,,,n.a.,1873,n.a.,n.a.,n.a.,n.a.,n.a.,Brig,,n.a.,n.a.,n.a.,260.25560298,National Monuments Service (Ireland),"Bourke 1994, 178; PP 1875, Vol. LXX, 43, 61; Lloyd’s List, No. 18, 549, Thursday 2nd October 1873, 5; Lloyd’s List, No. 18, 552, Monday 6th October 1873, 5.",n.a.,n.a.,POINT (52.58 -9.73982999999993)
heritageshipwrecks.5446,W06353,Ireland,Curacoa (HMS) - stern,,,n.a.,Unknown depth,,,,n.a.,1942,n.a.,n.a.,n.a.,Stern of the HMS Curcoa. See W07242 for full details of the wreck. GSI Wreck No_22 -2 stern,n.a.,Cruiser,,n.a.,n.a.,n.a.,67924.6766694,National Monuments Service (Ireland),"Brady et. al. 2012, 144-5; Colledge 2003, 90; Hocking 1989, 172; Larn & Larn 2002.",n.a.,n.a.,POINT (55.83509 -8.64012999999994)
heritageshipwrecks.5448,W06384,Ireland,Catherine Jane/Catharine Jane,,,n.a.,Unknown depth,,,,n.a.,1881,n.a.,n.a.,n.a.,n.a.,n.a.,Brigantine,,n.a.,n.a.,n.a.,1997.71303724,National Monuments Service (Ireland),"Lloyd's List, No. 21, 066, 3rd November 1881, 11; Lloyd's List, No. 21, 069, 7th November 1881, 10; Lloyd's List, No. 21, 110, 24th December 1881, 9; PP 1883, Vol. LXIII, 111.",n.a.,n.a.,POINT (53.3812500000001 -10.09264)
heritageshipwrecks.5450,W06495,Ireland,Mashona (SS),,,n.a.,Unknown depth,,,,n.a.,1941,n.a.,n.a.,n.a.,n.a.,n.a.,Destroyer,,n.a.,n.a.,n.a.,103563.879376,National Monuments Service (Ireland),"BVLS 1939-45, 11; DOD 1990 Ed., 460; Larn & Larn 2002 Colledge 2003 (1987), 222; SIC Vol. 3, 103; Lloyd's List 39, 485, Friday 30th May 1941.",n.a.,n.a.,POINT (52.9666700000001 -11.6)
heritageshipwrecks.5451,W06523,Ireland,Pretty Polly (FV),,,n.a.,Unknown depth,,,,n.a.,1918,n.a.,n.a.,n.a.,n.a.,n.a.,Ketch,,n.a.,n.a.,n.a.,15906.2654527,National Monuments Service (Ireland),"UKHO Wreck Data 1996; PP 1919, Vol. LXII, 123 (749); BVLS 1914-18, 123.",n.a.,n.a.,POINT (53.2 -10.1)
heritageshipwrecks.3289,FR 0000006966 00001,France,n.a.,6.4,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Wooden shell,Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,2119.11345045,SHOM,n.a.,n.a.,n.a.,POINT (50.9777448890001 1.79637398200003)
heritageshipwrecks.703,FR 0000002973 00001,France,n.a.,25.4,,n.a.,Least depth known,,5.3,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,19123.5971577,SHOM,n.a.,n.a.,n.a.,POINT (49.550902755 -0.822749113999976)
heritageshipwrecks.5452,W06643,Ireland,Verity,,,n.a.,Unknown depth,,,,n.a.,1880,n.a.,n.a.,n.a.,n.a.,n.a.,Barque,,n.a.,n.a.,n.a.,59.15365483,National Monuments Service (Ireland),"Lloyd's List 20, 498, 7th January 1880, 10; Lloyd's List 20, 504, 14th January 1880, 10; Bourke 1994, 184; PP 1881, Vol. LXXXII, 111.",n.a.,n.a.,POINT (53.5541700000001 -10.19328)
heritageshipwrecks.5453,W06657,Ireland,Aghia Eirine (SS),,,n.a.,Unknown depth,,,,n.a.,1940,n.a.,n.a.,n.a.,"4,330-ton steamer foundered en route from Cardiff to Buenos Aires with a cargo of coal. The steamer lost control of its steering and ran ashore on the western cliffs of Achill Island. The wreck was partially salvaged in 1941 by Mr J. Sweeney and a local",n.a.,Steamship,,n.a.,n.a.,n.a.,16.10880441,National Monuments Service (Ireland),"Bourke 1994, 188; Meide 2006.",n.a.,n.a.,POINT (53.8870600000001 -9.98421999999994)
heritageshipwrecks.5454,W06678,Ireland,Apapa (MV),,,n.a.,Unknown depth,,,,n.a.,1940,n.a.,n.a.,n.a.,n.a.,n.a.,Liner,,n.a.,n.a.,n.a.,427844.061855,National Monuments Service (Ireland),"Hocking, 1969, 39; BVLS 1939-45, 13.",n.a.,n.a.,POINT (54.56667 -16.78333)
heritageshipwrecks.5455,W06680,Ireland,Aranmore (SS),,,n.a.,Unknown depth,,,,n.a.,1916,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,29430.0175897,National Monuments Service (Ireland),"Bourke 1994, 217; PP 1919, Vol. XLII, 16 (642); BMS 1914-18, 46; LR 1915-16 No 1306(A); LCWLR 1914-18, 37; BVLS 1914-18, 16; SIC Vol. 1, 217; PRO Kew ADM 137/2960; Larn & Larn 2002.",n.a.,n.a.,POINT (54.43683 -10.4585)
heritageshipwrecks.5456,W06682,Ireland,Arethusa (SV),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Barque,,n.a.,n.a.,n.a.,27693.1614815,National Monuments Service (Ireland),"Bourke 1994, 218; BVLS 1914-18, 45; Larn & Larn 2002; UKHO Wreck Data.",n.a.,n.a.,POINT (54.4585000000001 -10.39183)
heritageshipwrecks.5458,W06695,Ireland,Charles Stuart Parnell,,,n.a.,Unknown depth,,,,n.a.,1928,n.a.,n.a.,n.a.,n.a.,n.a.,Schooner,,n.a.,n.a.,n.a.,323.55277594,National Monuments Service (Ireland),"Bourke 1994, 188; Lloyd's List 35, 523, Monday 9th July 1928.",n.a.,n.a.,POINT (53.83385 -9.66384999999997)
heritageshipwrecks.5459,W06696,Ireland,Cherbury (SS),,,n.a.,Unknown depth,,,,n.a.,1915,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,24232.9031776,National Monuments Service (Ireland),"BMS 1914-18, 68; Bourke 1994, 217; BVLS 1914-18, 6; Larn & Larn 2002; LCWLR 1914-18, 11; LR 1915-16 No 832 (C); PRO Kew ADM.137/2959; SIC Vol. 1, 127.",n.a.,n.a.,POINT (54.4833300000001 -10.23333)
heritageshipwrecks.5460,W06704,Ireland,Creteboom,,,n.a.,Unknown depth,,,,n.a.,1937,n.a.,n.a.,n.a.,n.a.,n.a.,Tug,,n.a.,n.a.,n.a.,86.35391269,National Monuments Service (Ireland),UKHO Wreck Data 1996; Larn & Larn 2002.,n.a.,n.a.,POINT (54.1355100000001 -9.13845999999995)
heritageshipwrecks.5462,W06711,Ireland,Dunvegan Castle (SS),,,n.a.,Unknown depth,,,,n.a.,1940,n.a.,n.a.,n.a.,n.a.,n.a.,Merchant Vessel,,n.a.,n.a.,n.a.,107553.852904,National Monuments Service (Ireland),"ASS. P26; BVLS. 1939-45, 5: Larn & Larn 2002 LCSLR. 1939-45, 118: LR 1940-41 No.73466(D); SIC Vol. 2, 134; Union Castle Line History, 118; Hocking 1989, 198; Lloyd's List 39, 256, Monday 2nd September 1940; Lloyd's List 39, 256, Monday 2nd September 1940",n.a.,n.a.,POINT (55.08333 -10.9999999999999)
heritageshipwrecks.5463,W06718,Ireland,Embassage (SS),,,n.a.,Unknown depth,,,,n.a.,1941,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,177112.101683,National Monuments Service (Ireland),"Hocking, 1969, 212; BVLS 1939-45, 26.",n.a.,n.a.,POINT (54.0000000000001 -12.9999999999999)
heritageshipwrecks.5464,W06731,Ireland,Flowerette,,,n.a.,Unknown depth,,,,n.a.,1937,n.a.,n.a.,n.a.,n.a.,n.a.,Sailing Ship,,n.a.,n.a.,n.a.,33.81961376,National Monuments Service (Ireland),UKHO Wreck Data 1996.,n.a.,n.a.,POINT (54.13602 -9.13942999999995)
heritageshipwrecks.5465,W06741,Ireland,George and Mary (SV),,,n.a.,Unknown depth,,,,n.a.,1915,n.a.,n.a.,n.a.,n.a.,n.a.,Schooner,,n.a.,n.a.,n.a.,6270.62947499,National Monuments Service (Ireland),"Admiralty Wreck Data 1996; Bourke 1994, 217; Larn & Larn 2002; LCWLR 1914-18, 14; LR 1914-15 No 130(G); BVLS 1914-18, 7; PRO Kew ADM. 137/12959.",n.a.,n.a.,POINT (54.1041700000001 -10.39167)
heritageshipwrecks.5466,W06749,Ireland,Heathfield,,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Barque,,n.a.,n.a.,n.a.,93816.300674,National Monuments Service (Ireland),"BVLS 1914-18, 46; Larn & Larn 2002 PRO Kew ADM 137/2961; LCWLR 1914-18, 123; LR 1914-15 No 106(H).",n.a.,n.a.,POINT (54.4605000000001 -11.5799999999999)
heritageshipwrecks.5468,W06792,Ireland,Manchester Brigade (SS),,,n.a.,Unknown depth,,,,n.a.,1940,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,68572.6889918,National Monuments Service (Ireland),"ASS. P30: BCMS. P207; Bourke 1998, 136; BVLS 1939-45, 11; Hocking, 1969, 448; LCWLR. 1939-45, 130: SIC. Vol. 1 (?), 136 &220[Vol. 2 not 1 refers to this wreck]; Larn & Larn 2002.",n.a.,n.a.,POINT (54.8833300000001 -10.3666699999999)
heritageshipwrecks.5475,W06892,Ireland,Thames (SS),,,n.a.,Unknown depth,,,,n.a.,1893,n.a.,n.a.,n.a.,n.a.,n.a.,Iron Steamship,,n.a.,n.a.,n.a.,3699.94894123,National Monuments Service (Ireland),"Bourke 1994, 189; PP 1894, LXXVI, 133; Lloyd’s List, No. 17, 321 Mon. 6th Mar. 1893, 5, c.19; Lloyd’s List, No. 17, 324 Thur. 9th Mar. 1893, 3; Lloyd’s List, No. 17, 329 Wed. 15th Mar. 1893, 9; Lloyd’s List, No. 17, 337 Fri. 24th Mar. 1893, 12; L",n.a.,n.a.,POINT (54.26183 -9.12599999999998)
heritageshipwrecks.5476,W06902,Ireland,Tuskar (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,5098.55702636,National Monuments Service (Ireland),"UKHO Wreck Data 1996; Bourke 1994, 190, 219; Hocking, 1969, 721; LR 1917-18 No 1208(T); LCWLR 1914-18, 169; BVLS 1914-1, 66; Clyde Shipping Co. Ltd. History, 1956, 66 & 120; Larn & Larn 2002.",n.a.,n.a.,POINT (54.26667 -10.175)
heritageshipwrecks.5480,W06923,Ireland,Zeepaard,,,n.a.,Unknown depth,,,,n.a.,1665,n.a.,n.a.,n.a.,"The Zeepaard (Seahorse) was a of 400 ton jacht built in Zeeland in 1655 for the Dutch East India Company or Vereenigde Oostindische Compagnie (VOC). Between 1656 and 1663 the Zeepaard made two successful return trips from Wielingen, Holand to Batavia (Ja",n.a.,East Indiaman,,n.a.,n.a.,n.a.,98.65455635,National Monuments Service (Ireland),"Brady 2012; Brady 2017; Wignall 1982, 76",n.a.,n.a.,POINT (54.25773 -9.87935999999996)
heritageshipwrecks.5483,W06967,Ireland,Verdi (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,208924.471743,National Monuments Service (Ireland),"Hocking, 1969, 736; BVLS 1914-18, 64.",n.a.,n.a.,POINT (55.325 -12.7583299999999)
heritageshipwrecks.3428,FR 0000007550 00001,France,TRIFELS,10.3,,n.a.,Least depth known,,100,,"Was torpedoed and sunk by the British. Had previously been captured by the French, renamed 'SAINTE LOUISE', but was taken over by the Germans during the fall of France",,n.a.,n.a.,n.a.,"Large wreck, oriented NNW / SSE partially silted up, there is a large breach on the port side. The masts are still in place on the deck, German and French crockery was found in the wreck (reference. English file 1988)",Wreck,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,19056.8709265,SHOM,n.a.,n.a.,n.a.,POINT (51.23008115 2.36841684200004)
heritageshipwrecks.5486,W07023,Ireland,La Juliana,,,n.a.,Unknown depth,,,,n.a.,1588,n.a.,n.a.,n.a.,"UKHO Wreck No.007400111. 860-ton Spanish Armada ship, carrying 70 mariners, 325 soldiers and 32 cannon.  One of the merchant vessels commandeered by Philip II for his Levantine Squadron when preparing for his planned invasion of England in1588. Built in",n.a.,Transport,,n.a.,n.a.,n.a.,345.3683736,National Monuments Service (Ireland),"Birch, S. & McElvogue, D. 1999, 31-50; , Fallon, N. 1978, 211; Flanagan, L., 1988, 19, 22-23; Martin, C. 1975, 274; Moore, F., Brady, K., Kelleher, C. 2015(a), 26-33; Moore, F. Brady, K. Kelleher,C. 2015(b), 26-33",n.a.,n.a.,POINT (54.4096400000001 -8.54677999999996)
heritageshipwrecks.5487,W07024,Ireland,La Lavia,,,n.a.,Unknown depth,,,,n.a.,1588,n.a.,n.a.,n.a.,"A 728-ton Venetian merchantman with 71 mariners and 203 soldiers on board, armed with 25 cannon. She was one of the vessels commandeered by Philip II for his Levantine Squadron when preparing for his planned invasion of England in1588 and was also the vi",n.a.,Merchant Vessel,,n.a.,n.a.,n.a.,476.57447729,National Monuments Service (Ireland),"Birch, S. & McElvogue, D. 1999, 31-50; , Fallon, N. 1978, 211; Flanagan, L., 1988, 19, 22-23; Martin, C. 1975, 274; Martin, C. & Parker, G. 1988; Moore, F., Brady, K., Kelleher, C. 2015(a), 26-33; Moore, F. Brady, K. Kelleher,C. 2015(b), 26-33",n.a.,n.a.,POINT (54.4095 -8.55416999999994)
heritageshipwrecks.5473,W06853,Ireland,Unknown 'Myler's Wreck' (possibly UKHO 9842),,,n.a.,Unknown depth,,,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,11413.6466263,National Monuments Service (Ireland),n.a.,n.a.,n.a.,POINT (52.0371700000001 -6.74049999999994)
heritageshipwrecks.5490,W07096,Ireland,Active,,,n.a.,Unknown depth,,,,n.a.,1811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,1405.81676007,National Monuments Service (Ireland),"Bourke 1998, 142, Larn & Larn 2002; Lloyd's List, No 4, 551: 05.04.1811(Fri)(R).",n.a.,n.a.,POINT (55.2500000000001 -6.91666999999995)
heritageshipwrecks.5512,W07204,Ireland,Caprivi (SS),,,n.a.,Unknown depth,,,,n.a.,1915,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,95896.7235352,National Monuments Service (Ireland),"Bourke 1994, 221; Larn & Larn 2002; Hocking 1989, 121; Lloyd’s List, No. 31, 469, Mon. 26th Apr. 1915, 9 c.22; Lloyd’s List, No. 31, 481, Mon. 10th May 1915, 9 c.28.",n.a.,n.a.,POINT (55.56667 -9.69999999999993)
heritageshipwrecks.5491,W07115,Ireland,Amazon (SS),,,n.a.,Unknown depth,,,,n.a.,1918,n.a.,n.a.,n.a.,"10,037-ton 12-year-old steel steamship of Belfast, owned by the Royal Mail Steam Packet Co. Built in 1906 by Harland & Woolf Ltd, Belfast. Measured L.156.41 x B.18.38 x D.9.34. Powered by 8-cylinder quadruple 827 Hp six-boiler screw engine. En route from",n.a.,Steamship,,n.a.,n.a.,n.a.,82036.046684,National Monuments Service (Ireland),"Brady et. al. 2012, 107-110; GSI Wreck Data; Kemp 1997, 45; Larn & Larn 2002; Williams 1997, 70; www.uboat.net.",n.a.,n.a.,POINT (55.7708700000001 -9.18943999999993)
heritageshipwrecks.5492,W07118,Ireland,Anchises (SS),,,n.a.,Unknown depth,,,,n.a.,1941,n.a.,n.a.,n.a.,n.a.,n.a.,Liner,,n.a.,n.a.,n.a.,303727.925499,National Monuments Service (Ireland),"Hocking, 1969, 31; BVLS 1939-45, 18.",n.a.,n.a.,POINT (55.5000000000001 -14.28333)
heritageshipwrecks.5493,W07119,Ireland,Anchusa (HMS),,,n.a.,Unknown depth,,,,n.a.,1918,n.a.,n.a.,n.a.,n.a.,n.a.,Sloop,,n.a.,n.a.,n.a.,28463.3110028,National Monuments Service (Ireland),"BVLS 1914-18 6; Hepper 2006, 136; Hocking 1989 31; Larn & Larn 2002.",n.a.,n.a.,POINT (55.6166700000001 -7.58332999999993)
heritageshipwrecks.5495,W07132,Ireland,Arandora Star (SS),,,n.a.,Unknown depth,,,,n.a.,1940,n.a.,n.a.,n.a.,n.a.,n.a.,Liner,,n.a.,n.a.,n.a.,149810.750626,National Monuments Service (Ireland),"ASS, 22; BVLS 1939-45, 7; DOD 1990 Ed., 41; DS, 129-30; Hocking, 1969, 41; The World’s Merchant Fleets 1939, Jordan, R., 93, 96 & 485; Larn & Larn 2002; LCWLR 1939-45, 95; SIC Vol 1, 220; Lloyd's List 39, 203, Tuesday, 2nd July 1940; Lloyd's List 39, 2",n.a.,n.a.,POINT (55.31667 -11.55)
heritageshipwrecks.5496,W07133,Ireland,Arca (SS),,,n.a.,Unknown depth,,,,n.a.,1918,n.a.,n.a.,n.a.,n.a.,n.a.,Tanker,,n.a.,n.a.,n.a.,126974.112417,National Monuments Service (Ireland),"BVLS 1914-18, 98; Hocking 1969, 42; Larn & Larn 2002; PP 1919, Vol. LXII, 98.",n.a.,n.a.,POINT (55.7500000000001 -10.0674999999999)
heritageshipwrecks.5497,W07139,Ireland,Armadale,,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Liner,,n.a.,n.a.,n.a.,280656.498117,National Monuments Service (Ireland),"Hocking, 1969, 47; BVLS 1914-18, 57; BVCDE, 40p.",n.a.,n.a.,POINT (56.28333 -12.6999999999999)
heritageshipwrecks.5498,W07140,Ireland,Artensis,,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Full-rigged ship,,n.a.,n.a.,n.a.,72586.3747721,National Monuments Service (Ireland),Larn & Larn; www.wrecksite.eu.,n.a.,n.a.,POINT (54.53333 -11.1166699999999)
heritageshipwrecks.5499,W07143,Ireland,Assurance,,,n.a.,Unknown depth,,,,n.a.,1941,n.a.,n.a.,n.a.,n.a.,n.a.,Tug,,n.a.,n.a.,n.a.,349.95262543,National Monuments Service (Ireland),"Bourke 1994, 215; Bourke 1998, 163; BVLS 1939-45, 13.",n.a.,n.a.,POINT (55.2166700000001 -6.93666999999994)
heritageshipwrecks.5500,W07144,Ireland,Assyria (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Steel Steamship,,n.a.,n.a.,n.a.,65153.2722157,National Monuments Service (Ireland),"PP 1919, Vol. LXII, 64; LR 1915-16 No 1657(A); LCWLR 1914-18, 166; BMS 1914-18, 30; BVLS 1914-18, 64; PRO Kew ADM 137/2962; Larn & Larn 2002.",n.a.,n.a.,POINT (55.6666700000001 -8.99887999999993)
heritageshipwrecks.5501,W07145,Ireland,Athenia (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,"The Athenia was an 8,668-ton, twin-screw British liner built by Vickers Sons & Maxim, Barrow-in-Furness, Cumbria, and owned by the Anchor-Donaldson Line. It had two decks, one funnel, four masts and triple expansion engines. The liner was capable of reac",n.a.,Liner,,n.a.,n.a.,n.a.,13783.3719408,National Monuments Service (Ireland),"Brady et. al. 2012, 77-78; Bonsor 1979, Vol. iii, 344–5; GSI Wreck Data; Halkett 2006, 148; Hocking 1969, 56; Larn & Larn 2002; UKHO Wreck Data 1996; Williams 1997, 60; www.uboat.net",n.a.,n.a.,POINT (55.55533 -7.35577999999998)
heritageshipwrecks.5502,W07147,Ireland,Audacious (HMS),,,n.a.,Unknown depth,,,,n.a.,1914,n.a.,n.a.,n.a.,n.a.,n.a.,Dreadnought,,n.a.,n.a.,n.a.,22693.5066137,National Monuments Service (Ireland),"Bourke 1994, 207; Bourke 1998, 141, 145-6, 161, 162; BVLS 1914-18, 3; Diver magazine May 2002, 50-56; DOD 1990 Ed., 60; Hocking, 1969, 60; Larn & Larn 2002; SRN Vol 1, 42; DS, 75-80; Lloyd’s List, No. 32, 623, Fri. 24th Jan. 1919, 9; Lloyd's List, No.",n.a.,n.a.,POINT (55.47146 -7.75208999999995)
heritageshipwrecks.5503,W07156,Ireland,Barnsley (posssibly) (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,n.a.,n.a.,Steam Trawler,,n.a.,n.a.,n.a.,16535.589859,National Monuments Service (Ireland),"UKHO Wreck Data 1996; PP 1919, Vol. LXII, 114; LR 1915-16 No 225(B); BVLS 1914-18, 114; LLGV, 47; STLG No 123; Larn & Larn 2002; Lloyd’s List, No. 32, 030, Thur. 15th Feb. 1917, 5 c.1.",n.a.,n.a.,POINT (55.5972200000001 -7.26332999999994)
heritageshipwrecks.5504,W07171,Ireland,Betty (SS),,,n.a.,Unknown depth,,,,n.a.,1940,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,45634.3005555,National Monuments Service (Ireland),"Hocking, 1969, 83; BVLS 1939-45, 9.",n.a.,n.a.,POINT (55.1333300000001 -9.23332999999997)
heritageshipwrecks.5505,W07178,Ireland,Boma (SS),,,n.a.,Unknown depth,,,,n.a.,1940,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,48342.2413959,National Monuments Service (Ireland),"ASS, 24; BVLS 1939-45, 9; DS, 134; The World’s Merchant Fleets 1939, Jordan, R. 1999, 128 & 488; Larn & Larn 2002 LCWLR 1939-45, 110; SIC Vol 1, 220; Lloyd's List 39, 234, Wednesday, 7th August 1940; Lloyd's List 39, 236, Friday, 9th August 1940; Lloyd",n.a.,n.a.,POINT (55.72083 -7.85499999999996)
heritageshipwrecks.758,FR 0000003365 00001,France,n.a.,10.8,,n.a.,Least depth known,,5.2,,n.a.,,n.a.,n.a.,n.a.,"12/12/1993: magnetic anomaly = 1000 nT, orientation = N / S",n.a.,n.a.,,n.a.,n.a.,n.a.,1704.46746084,SHOM,n.a.,n.a.,n.a.,POINT (49.3612868060001 -0.662218310999947)
heritageshipwrecks.5506,W07179,Ireland,Boniface (SS),,,n.a.,Unknown depth,,,,n.a.,1917,n.a.,n.a.,n.a.,"UKHO Wreck No.005900062. 3799-ton steel requisitioned liner of Liverpool. Owned by Booth Steamship Co. Ltd. Built in 1904 by Barclay, Curle & Co Ltd., Glasgow. Measured L.355 x B.49 x D.24ft Classed 100 A1 by Lloyd's. En route from New York to Glasgow wi",n.a.,Liner,,n.a.,n.a.,n.a.,6279.5662472,National Monuments Service (Ireland),"Bourke 1994, 202-3; Bourke 1998, 142; BVLS 1914-18, 64; GSI Wreck No_311; Larn & Larn 2002; UKHO Wreck Data 1996",n.a.,n.a.,POINT (55.1634000000001 -8.41816999999998)
heritageshipwrecks.5508,W07189,Ireland,Brittany (SS),,,n.a.,Unknown depth,,,,n.a.,1918,n.a.,n.a.,n.a.,n.a.,n.a.,Steamship,,n.a.,n.a.,n.a.,64985.906717,National Monuments Service (Ireland),"DS, 93; Larn & Larn 2002 LR 1915-6 No 1295(B); LCR 1918, 7(f); SIC Vol 3, 111; Hocking 1989, 106; Lloyd’s List, No. 32, 329, Thur. 7th Feb. 1918, 5 c.1.",n.a.,n.a.,POINT (55.83333 -8.49999999999994)
heritageshipwrecks.5509,W07193,Ireland,C. M. Reynolds,,,n.a.,Unknown depth,,,,n.a.,1902,n.a.,n.a.,n.a.,n.a.,n.a.,Brigantine,,n.a.,n.a.,n.a.,284.12889009,National Monuments Service (Ireland),"Lloyd's List 20, 103, Monday, 17th February 1902; Lloyd's List 20, 104; Tuesday, 18th February 1902; Lloyd's List 20, 105, Wednesday, 19th February 1902; Lloyd's List 20, 106, Thursday, 20th February 1902; Lloyd's List 20, 124, Thursday, 13th March 1902;",n.a.,n.a.,POINT (53.83444 -9.66555999999997)
